species	genus	family	order	class	phylum	domain	clade_name
Clostridium_sp_AT4	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4
GGB6612_SGB9346	GGB6612	FGB2404	OFGB2404	CFGB2404	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6612|s__GGB6612_SGB9346
Parabacteroides_distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis
Roseburia_inulinivorans	Roseburia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans
Fusicatenibacter_saccharivorans	Fusicatenibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans
Bacteroides_cutis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cutis
Roseburia_intestinalis	Roseburia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis
Bacteroides_thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron
Anaerostipes_hadrus	Anaerostipes	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus
GGB6606_SGB9340	GGB6606	FGB10055	OFGB10055	CFGB10055	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055|f__FGB10055|g__GGB6606|s__GGB6606_SGB9340
Blautia_obeum	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum
Clostridium_sp_AF34_10BH	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH
GGB1495_SGB2071	GGB1495	FGB629	OFGB629	CFGB629	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629|g__GGB1495|s__GGB1495_SGB2071
Alistipes_onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii
Clostridium_SGB4750	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB4750
Bacteroides_caccae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae
Coprobacter_fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus
Odoribacter_splanchnicus	Odoribacter	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus
Phocaeicola_coprocola	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprocola
Clostridium_sp_AF27_2AA	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA
Phocaeicola_dorei	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei
Dysosmobacter_sp_BX15	Dysosmobacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15
Dorea_longicatena	Dorea	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena
Roseburia_sp_AF02_12	Roseburia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AF02_12
Eubacterium_ventriosum	Eubacterium	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum
Lachnospira_sp_NSJ_43	Lachnospira	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_sp_NSJ_43
Escherichia_coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli
Blautia_wexlerae	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae
Bacteroides_ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus
Barnesiella_intestinihominis	Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis
Faecalicatena_fissicatena	Faecalicatena	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_fissicatena
Candidatus_Cibionibacter_quicibialis	Candidatus_Cibionibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis
Romboutsia_timonensis	Romboutsia	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis
Coprobacter_secundus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus
Ruminococcus_lactaris	Mediterraneibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_lactaris
Butyricimonas_faecihominis	Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_faecihominis
Butyricimonas_paravirosa	Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_paravirosa
Parabacteroides_merdae	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae
GGB3167_SGB4181	GGB3167	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3167|s__GGB3167_SGB4181
Eubacteriales_unclassified_SGB15148	Eubacteriales_unclassified	Eubacteriales_unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Eubacteriales_unclassified_SGB15148
Ruminococcus_gnavus	Mediterraneibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus
GGB1420_SGB1957	GGB1420	FGB602	OFGB602	CFGB602	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602|g__GGB1420|s__GGB1420_SGB1957
Lawsonibacter_asaccharolyticus	Lawsonibacter	Clostridiales_unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus
Alistipes_finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii
GGB18083_SGB26726	GGB18083	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB18083|s__GGB18083_SGB26726
GGB33928_SGB15225	GGB33928	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33928|s__GGB33928_SGB15225
GGB3480_SGB4648	GGB3480	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3480|s__GGB3480_SGB4648
Enterocloster_bolteae	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae
Clostridiaceae_bacterium_AF18_31LB	Clostridiaceae_unclassified	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_AF18_31LB
Lacrimispora_saccharolytica	Lacrimispora	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_saccharolytica
Brachyspira_pilosicoli	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli
Clostridium_fessum	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum
Flavonifractor_plautii	Flavonifractor	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_plautii
Clostridium_sp_AF36_4	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4
GGB9619_SGB15067	GGB9619	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9619|s__GGB9619_SGB15067
Vescimonas_coprocola	Vescimonas	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas_coprocola
Hydrogenoanaerobacterium_saccharovorans	Hydrogenoanaerobacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogenoanaerobacterium|s__Hydrogenoanaerobacterium_saccharovorans
Dorea_formicigenerans	Dorea	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans
Clostridiales_bacterium	Eubacteriales_unclassified	Eubacteriales_unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium
Alistipes_shahii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii
Fusobacterium_mortiferum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum
Blautia_faecis	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis
Clostridiaceae_bacterium	Clostridiaceae_unclassified	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium
Streptococcus_thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus
Ruminococcus_torques	Mediterraneibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques
Clostridium_sp_AF34_13	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_13
GGB9818_SGB15459	GGB9818	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB9818|s__GGB9818_SGB15459
Eubacterium_siraeum	Oscillospiraceae_unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum
Eubacteriaceae_bacterium	Eubacteriaceae_unclassified	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium
Clostridium_sp_AM22_11AC	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC
Clostridium_leptum	Oscillospiraceae_unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_leptum
GGB9184_SGB14123	GGB9184	FGB2880	OFGB2880	CFGB2880	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880|f__FGB2880|g__GGB9184|s__GGB9184_SGB14123
Ruminococcus_bicirculans	Ruminococcus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans
Lachnospiraceae_bacterium_OM04_12BH	Lachnospiraceae_unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_OM04_12BH
Clostridium_symbiosum	Lachnoclostridium	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum
Fusobacterium_ulcerans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_ulcerans
Faecalibacterium_SGB15346	Faecalibacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346
Haemophilus_parainfluenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae
Dysgonomonas_mossii	Dysgonomonas	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_mossii
Veillonella_parvula	Veillonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula
Anaerotignum_lactatifermentans	Anaerotignum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_lactatifermentans
Enterocloster_aldenensis	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_aldenensis
Enterocloster_citroniae	Enterocloster	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_citroniae
Phocaeicola_sartorii	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_sartorii
Dysosmobacter_welbionis	Dysosmobacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis
Agathobaculum_butyriciproducens	Agathobaculum	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens
GGB4602_SGB6365	GGB4602	FGB1765	OFGB1765	CFGB1765	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4602|s__GGB4602_SGB6365
Roseburia_hominis	Roseburia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis
Firmicutes_bacterium_AF16_15	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15
Intestinimonas_timonensis	Intestinimonas	Eubacteriales_unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_timonensis
Klebsiella_pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae
GGB3653_SGB4964	GGB3653	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653|s__GGB3653_SGB4964
GGB3817_SGB5182	GGB3817	Clostridia_unclassified	Clostridia_unclassified	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3817|s__GGB3817_SGB5182
GGB3746_SGB5089	GGB3746	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089
